epoch,loss,accuracy,val_loss,val_accuracy,best
0,1.2226,0.5413,1.1308,0.5618,0
1,1.0956,0.5747,1.0594,0.5862,0
2,1.0614,0.5854,1.0509,0.5875,0
3,1.054,0.5874,1.0452,0.5894,0
4,1.0472,0.5913,1.0348,0.595,0
5,1.0375,0.5949,1.0233,0.6001,0
6,1.0286,0.5996,1.0122,0.6045,0
7,1.0207,0.6036,1.0047,0.6098,0
8,1.0147,0.6073,1.0034,0.612,0
9,1.0094,0.6103,0.9987,0.6135,0
10,1.0072,0.612,0.9958,0.6146,0
11,1.0043,0.6132,0.9917,0.6163,0
12,1.0028,0.6145,0.9895,0.617,0
13,0.9996,0.6163,0.9899,0.618,0
14,0.9972,0.6172,0.9851,0.6212,0
15,0.9961,0.6183,0.9835,0.6209,0
16,0.9937,0.6191,0.9802,0.6223,0
17,0.9925,0.6195,0.9801,0.6227,0
18,0.9917,0.6199,0.9789,0.6222,0
19,0.9908,0.6201,0.9772,0.623,0
20,0.9896,0.6208,0.9757,0.624,0
21,0.989,0.6211,0.9759,0.6248,0
22,0.9877,0.6213,0.9763,0.6235,0
23,0.9875,0.6216,0.9766,0.6237,0
24,0.9875,0.6215,0.9744,0.6249,0
25,0.9866,0.6216,0.972,0.6253,0
26,0.9865,0.6219,0.972,0.6254,0
27,0.9856,0.6219,0.9737,0.6248,0
28,0.9855,0.6221,0.9714,0.626,0
29,0.9857,0.6221,0.9737,0.6255,0
30,0.9847,0.6226,0.9729,0.6248,1
